기준_년분기_코드,행정동_코드_x,행정동_코드_명,상권_변화_지표,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,서울_운영_영업_개월_평균,서울_폐업_영업_개월_평균,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,교육_지출_총금액,유흥_지출_총금액,여가_문화_지출_총금액,기타_지출_총금액,음식_지출_총금액
20242,11110700,숭인1동,HH,정체,116,60,105,52,2046764,969030,1077733,176737,306989,320926,305213,380454,556444,514020,421422,247657,254259,351209,258195,291335,290810,291867,291274,288847,294775,297857,2868519,6,867284000,443774000,3419000,5446000,163611000,9227000,21912000,11494000,11417000,41275000,155709000
20243,11110700,숭인1동,HH,정체,118,60,107,52,2058999,985666,1073333,190514,302391,317725,311076,372020,565276,509805,423072,249866,256295,359607,260354,291127,291070,292003,292778,290271,299490,302262,2868519,6,314471000,163276000,1778000,1403000,61724000,2978000,7432000,4450000,2186000,17486000,51758000
20244,11110700,숭인1동,HH,정체,120,59,109,52,2217201,1062898,1154302,218204,327751,342226,344804,385108,599107,545543,453953,268801,277115,390096,281690,311192,310639,312635,313481,310840,326583,331832,2868519,6,930603000,460809000,3271000,4868000,216183000,8613000,21690000,12730000,13444000,31634000,157361000
20241,11110710,숭인2동,HL,상권축소,110,48,103,52,5547900,2728339,2819560,445993,1038746,908882,806272,957408,1390600,1389358,1156406,741540,734362,857144,669091,777085,782364,783076,783846,784567,808162,828798,2607311,6,655039000,180779000,75131000,9122000,62325000,1429000,1673000,22360000,47238000,15140000,239842000
20242,11110710,숭인2동,HL,상권축소,111,48,105,52,5438192,2647738,2790455,425585,1065871,882141,783338,925518,1355739,1325297,1140662,740074,731037,848634,652489,767230,771921,766395,769979,776940,781305,804422,2607311,6,2107281000,573809000,242917000,32508000,189660000,7236000,7919000,78200000,148083000,47966000,778983000
20243,11110710,숭인2동,HL,상권축소,111,49,107,52,5475278,2691106,2784172,414374,1065951,902801,788144,941413,1362596,1346722,1164143,730926,716594,854203,662689,769994,771699,777533,777372,784218,788803,805658,2607311,6,744972000,204256000,79451000,10283000,78465000,2513000,3730000,25148000,53120000,15510000,272496000
20244,11110710,숭인2동,HL,상권축소,113,49,109,52,5626143,2773652,2852491,416094,1110291,904929,816358,959539,1418930,1349002,1194173,775702,758559,878667,670042,782733,785021,792860,791224,799315,825863,849130,2607311,6,2236750000,569305000,244151000,32635000,249358000,7330000,14919000,86617000,152247000,59376000,820812000
20241,11140520,소공동,HH,정체,125,66,103,52,2740092,1389211,1350881,182887,473310,689147,646904,430626,317217,202774,618242,636488,628039,503091,151457,422560,467742,492134,463915,439170,248233,206338,5380521,9,6.19E+11,466206000,40774000,90774000,474835000,1093230000,50635000,86698000,6.12E+11,4042856000,1318306000
20242,11140520,소공동,HH,정체,126,66,105,52,2795907,1382341,1413566,212802,473171,688097,649601,440181,332057,196489,643115,658826,640793,506500,150183,447598,494454,436136,475460,477179,260971,204110,5380521,9,1.89E+12,1512101000,216304000,345517000,1689352000,3539820000,150236000,256457000,1.87E+12,11838160000,4343313000
20243,11140520,소공동,HH,정체,128,67,107,52,2710749,1349841,1360908,183402,469639,681638,638239,429483,308348,182764,631465,641522,625751,489303,139942,441184,454772,454030,465187,458718,242260,194596,5380521,9,7.34E+11,548381000,56674000,99918000,652691000,1472482000,44036000,94304000,7.26E+11,3806704000,1583444000
20244,11140520,소공동,HH,정체,130,67,109,52,2812029,1398894,1413135,193191,465278,697285,652007,456009,348259,173744,630351,665684,669441,528167,144644,461528,461856,454453,468956,465985,277288,221962,5380521,9,2.01E+12,1520651000,324349000,376593000,1632964000,3484275000,132749000,275403000,1.98E+12,11960876000,5325626000
20241,11140540,회현동,HH,정체,150,70,103,52,4402647,2057573,2345075,172750,566826,987385,993505,785059,897121,322397,941499,1107999,1081423,728184,221146,669349,732918,774248,730054,702663,457486,335929,4442451,8,1.59E+11,8573739000,399136000,453461000,1265929000,1.17E+11,20884000,34143000,24289485000,5640382000,1025493000
20242,11140540,회현동,HH,정체,152,71,105,52,4555589,2086861,2468729,153671,563336,1015267,1037606,811295,974416,317921,992782,1171328,1121803,734022,217734,720742,789736,717898,762222,759854,471594,333543,4442451,8,5.14E+11,26502891000,1355682000,1326267000,4107695000,3.90E+11,56804000,69493000,68246644000,19265433000,3065168000
20243,11140540,회현동,HH,정체,154,71,107,52,4322078,2014967,2307111,149855,551213,973374,989854,775436,882345,308953,961572,1092944,1045857,700518,212235,697766,709238,704446,723781,719528,443504,323814,4442451,8,1.79E+11,9576622000,404630000,557447000,1412205000,1.34E+11,22824000,24903000,25226524000,6557773000,1074699000
